CJS Offence Code,Offence Title,Legislation,Offence Category Code,Custodial Indicator,Recordable On PNC Indicator,DVLA Code,Offence Start Date,Blocked for use,XHB Indicator,Offence Class
FI68362,Failure to declare name/address to constable - shotgun,Contrary to Section 48(3) of and Schedule 6 to the Firearms Act 1968.,CS,N,N,,01-Jan-68,N,N,S
FI68363,Possess a rocket / ammunition - military equipment,Contrary to section 5(1A)(b) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,14-Mar-15,N,N,3
FI68364,Purchase / acquire rocket / ammunition - military equipment,Contrary to section 5(1A)(b) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,13-Mar-15,N,N,3
FI68366,Manufacture / sell etc firearm - not registered dealer,Contrary to section 3(1)(a) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,13-Mar-15,N,N,3
FI68367,Manufacture/sell ammunition - not registered dealer,Contrary to Section 3(1)(a) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,12-Mar-15,N,N,3
FI68368,Manufacture/sell etc shotgun - not registered dealer,Contrary to Section 3(1)(a) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,12-Mar-15,N,N,3
FI68369,Possess for sale etc firearm - not registered dealer,Contrary to section 3(1)(b) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,13-Mar-15,N,N,3
FI68370,Possess ammunition for sale - not registered dealer,Contrary to Section 3(1)(b) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,12-Mar-15,N,N,3
FI68371,Possess for sale etc shotgun - not registered dealer,Contrary to Section 3(1)(b) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,12-Mar-15,N,N,3
FI68372,Falsify certificate to acquire / purchase firearm,Contrary to section 3(5) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,13-Mar-15,N,N,3
FI68373,Falsify certificate to acquire / purchase ammunition,Contrary to section 3(5) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,13-Mar-15,N,N,3
FI68374,Falsify certificate to acquire / purchase shotgun,Contrary to section 3(5) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,13-Mar-15,N,N,3
FI68377,Possess loaded / unloaded firearm and suitable ammunition in public place,Contrary to section 19 of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,12-Mar-15,N,N,3
FI68378,Possess a loaded / unloaded air weapon in a public place,Contrary to section 19 of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,13-Mar-15,N,N,3
FI68380,Make gift of air weapon / ammunition to person under 18 years - Firearms Act 1968,Contrary to section 24(4) of and Schedule 6 to the Firearms Act 1968.,CS,N,N,,02-Oct-07,N,N,S
FI68381,Part with air weapon / ammunition to person under 18 - Firearms Act 1968,Contrary to section 24(4) of and Schedule 6 to the Firearms Act 1968.,CS,N,N,,03-Oct-07,N,N,S
FI68386,Under 18 years of age being  supervised fire air weapon beyond premises,Contrary to section 23(1) of and Schedule 6 to the Firearms Act 1968.,CS,N,N,,05-Oct-07,N,N,S
FI68390,Possess a prohibited weapon ( automatic ),Contrary to section 5(1)(a) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,23-Jan-04,N,N,3
FI68390C,Conspire to possess a prohibited weapon ( automatic ),Contrary to section 1(1) of the Criminal Law Act 1977.,CI,Y,Y,,23-Jan-04,N,N,3
FI68391,Purchase/acquire a prohibited weapon (automatic),Contrary to section 5(1)(a) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,22-Jan-04,N,N,3
FI68391C,Conspire to purchase/acquire a prohibited weapon (automatic),Contrary to section 1(1) of the Criminal Law Act 1977 and section 5(1)(a) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,22-Jan-04,N,N,3
FI68394,Possess prohibited ammunition,Contrary to section 5(1)(c) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,22-Jan-04,N,N,3
FI68395,Purchase/acquire prohibited ammunition,Contrary to section 5(1)(c) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,22-Jan-04,N,N,3
FI68398,Possess prohibited smooth-bore revolver,Contrary to section 5(1)(ad) of and    Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,24-Jan-04,N,N,3
FI68399,Purchase / acquire prohibited smooth-bore revolver,Contrary to section 5(1)(ad) of and    Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,23-Jan-04,N,N,3
FI68402,Possess prohibited weapon - a rocket launcher,Contrary to section 5(1)(ae) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,23-Jan-04,N,N,3
FI68403,Purchase/acquire prohibited weapon - rocket launcher,Contrary to section 5(1)(ae) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,22-Jan-04,N,N,3
FI68406,Possess prohibited weapon - a mortar,Contrary to section 5(1)(ae) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,07-Sep-06,N,N,3
FI68407,Purchase/acquire prohibited weapon - a mortar,Contrary to section 5(1)(ae) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,22-Jan-04,N,N,3
FI68410,Possess prohibited weapon (disguised firearm),Contrary to section 5(1A)(a) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,24-Jan-04,N,N,3
FI68411,Purchase/acquire prohibited weapon (disguised firearm),Contrary to section 5(1A)(a) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,23-Jan-04,N,N,3
FI68413,Possess a pump action / self load rifle,"Contrary to section 5(1)(ab) of, and Schedule 6 to, the Firearms Act 1968.",CI,Y,Y,,26-Jan-04,N,N,3
FI68414,Purchase/acquire pump action/self load rifle,Contrary to section 5(1)(ab) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,23-Jan-04,N,N,3
FI68417,Possess self loading / pump action smooth-bore gun,Contrary to section 5(1)(ac) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,23-Jan-04,N,N,3
FI68417A,Attempt to possess self-loading / pump-action smooth-bore gun,Contrary to section 1(1) of the Criminal Attempts Act 1981.,CI,Y,Y,,04-Jan-82,N,N,3
FI68418,Purchase self loading/pump action smooth-bore gun,Contrary to section 5(1)(ac) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,22-Jan-04,N,N,3
FI68421,Possess a firearm of length less than 30cm / 60cm - prohibited weapon,Contrary to section 5(1)(aba) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,25-Jan-04,N,N,3
FI68421A,Attempt to possess a firearm of length less than 30cm / 60cm - prohibited weapon,Contrary to section 1(1) of the Criminal Attempts Act 1981.,CI,Y,Y,,26-Jan-04,N,N,3
FI68421C,Conspiracy to possess a firearm of length less than 30cm / 60cm - prohibited weapon,Contrary to section 1(1) Criminal Law Act 1977,CI,Y,Y,,22-Jan-04,N,N,3
FI68422,Purchase a handgun - prohibited weapon,Contrary to section 5(1)(aba) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,24-Jan-04,N,N,3
FI68422A,Attempt to purchase a handgun - prohibited weapon,Contrary to section 1(1) of the Criminal Attempts Act 1981.,CI,Y,Y,,25-Jan-04,N,N,3
FI68425,Possess prohibited weapon - self contained gas cartridge air weapon,Contrary to section 5(1)(af) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,13-Dec-06,N,N,3
FI68426,Purchase of an air weapon by a person under 18 years of age,Contrary to section 22(1) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,12-Mar-15,N,N,S
FI68427,Purchase of ammunition for an air weapon by a person under 18 years of age,Contrary to section 22(1) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,12-Mar-15,N,N,S
FI68428,Sell an air weapon to a person under 18 years of age,Contrary to section 24(1) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,12-Mar-15,N,N,S
FI68429,Hire an air weapon to a person under 18 years of age,Contrary to section 24(1)(a) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,13-Mar-15,N,N,S
FI68430,Sell ammunition for an air weapon to a person under 18 years of age,Contrary to section 24(1) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,12-Mar-15,N,N,S
FI68431,Hire ammunition for an air weapon to a person under 18 years of age,Contrary to section 24(1) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,12-Mar-15,N,N,S
FI68432,Fire an air weapon beyond premises,Contrary to section 21A of and Schedule 6 to the Firearms Act 1968.,CS,N,N,,02-Oct-07,N,N,S
FI68433,Purchase of an imitation firearm by a person under 18 years of age,Contrary to section 24A(1) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,12-Mar-15,N,N,S
FI68434,Sell an imitation firearm to a person under 18 years of age,Contrary to section 24A(2) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,12-Mar-15,N,N,S
FI68435,Possess an imitation firearm in a public place - Firearms Act 1968,Contrary to section 19 of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,12-Mar-15,N,N,3
FI68436,Sell / transfer an air weapon - not firearm certificate holder,Contrary to section 3(1)(c) and (2) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,12-Mar-15,N,N,3
FI68437,Hiring of an air weapon by a person under 18 years of age,Contrary to section 22(1) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,12-Mar-15,N,N,S
FI68438,Hiring of ammunition for an air weapon by a person under 18 years of age,Contrary to section 22(1)(a) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,13-Mar-15,N,N,S
FI68444,Sell / transfer prohibited weapon / ammunition,Contrary to section 5(2A)(b) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,15-Jul-14,N,N,3
FI68444C,Conspire to sell / transfer prohibited weapon / ammunition,Contrary to section 1(1) of the Criminal Law Act 1977.,CI,Y,Y,,14-Jul-14,N,N,3
FI68445,Possess prohibited weapon / ammunition for sale / transfer,Contrary to section 5(2A)(c) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,16-Jul-14,N,N,3
FI68445C,Conspire to possess prohibited weapon / ammunition for sale / transfer,Contrary to section 1(1) of the Criminal Law Act 1977,CI,Y,Y,,16-Jul-14,N,N,3
FI68446,Purchase / acquire prohibited weapon / ammunition for sale / transfer,Contrary to section 5(2A)(d) of and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,15-Jul-14,N,N,3
FI68447,Possess a firearm during 5 year period following suspended sentence of 3 months or more being passed,Contrary to section 21(2C) and (4) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,14-Jul-14,N,N,3
FI68448,Possess a shotgun during 5 year period following suspended sentence of 3 months or more being passed,Contrary to section 21(2C) and (4) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,14-Jul-14,N,N,3
FI68449,Possess firearm ammunition during 5 year period following suspended sentence of 3 months or more being passed,Contrary to section 21(2C) and (4) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,14-Jul-14,N,N,3
FI68450,Possess shotgun ammunition during 5 year period following suspended sentence of 3 months or more being passed,Contrary to section 21(2C) and (4) of and Schedule 6 to the Firearms Act 1968.,CE,Y,Y,,14-Jul-14,N,N,3
FI68451,Possess article for use in connection with conversion of imitation firearms,Contrary to section 4A of the Firearms Act 1968.,CE,Y,Y,,05-May-17,N,N,3
FI68452,Purchase / acquire prohibited rifle with a chamber from which empty cartridge cases are extracted,"Contrary to section 5(1)(ag) of, and Schedule 6 to, the Firearms Act 1968.",CI,Y,Y,,18-May-19,N,N,3
FI68453,Purchase / acquire any device designed or adapted so that it becomes part of a prohibited weapon,"Contrary to section 5(1)(ba) of, and Schedule 6 to, the Firearms Act 1968.",CI,Y,Y,,18-May-19,N,N,3
FI68454,Manufacture weapon / device / ammunition specified in section 5(1) of the Firearms Act 1968,Contrary to section 5(2A)(a) and Schedule 6 to the Firearms Act 1968.,CI,Y,Y,,17-May-19,N,N,3
FI68455,Fail to report transaction under visitor's shotgun permit,Contrary to section 42A(3) of and Schedule 6 to the Firearms Act 1968.,CS,Y,Y,,01-Jan-21,N,N,S
FI68456,Possess prohibited rifle with a chamber from which empty cartridge cases are extracted,"Contrary to section 5(1)(ag) of, and Schedule 6 to, the Firearms Act 1968.",CI,Y,Y,,15-Jul-21,N,N,3
FI68457,Possess any device designed or adapted so that it becomes part of a prohibited weapon,"Contrary to section 5(1)(ba) of, and Schedule 6 to, the Firearms Act 1968.",CI,Y,Y,,15-Jul-21,N,N,3
FI68501,Application for destruction or disposal of firearm or ammunition seized by a constable s.52(4) Firearms Act 1968,In accordance with section 52(4) of the Firearms Act 1968.,VP,N,N,,01-Jan-68,N,N,3
FL96001,Breach a non-molestation order - Family Law Act 1996,Contrary to section 42A(1) and (5) of the Family Law Act 1996.,CE,Y,Y,,12-Mar-15,N,N,3
FL96001A,Attempt breach of a non-molestation order,Contrary to section 1(1) of the Criminal Attempts Act 1981.,CE,Y,Y,,12-Mar-15,N,N,3
FL96002,Breach a forced marriage protection order,Contrary to section 63CA(1) and (5) of the Family Law Act 1996.,CE,Y,Y,,13-Mar-15,N,N,3
FL96504,Arrested for Breach of Family Law Order,"Family Law Act 1996, section 47.",VP,N,N,,03-Apr-09,N,N,3
FN03001,Falsify / conceal / destroy / otherwise dispose of document to which Pt 6 of Sch 13 to Finance Act 2003 applies,Contrary to paragraph 53(1)(a) and (5) of Schedule 13 to the Finance Act 2003.,CE,Y,Y,,02-Dec-03,N,N,3
FN03002,Cause or permit the falsification / concealment / destruction / other disposal of Pt 6 Sch 13 document,Contrary to paragraph 53(1)(b) and (6) of Schedule 13 to the Finance Act 2003.,CE,Y,Y,,02-Dec-03,N,N,3
FN03003,Permit the falsification/ concealment/destruction/other disposition of a document under Part 8 of the Act,,CE,N,N,,01-Dec-03,N,N,3
FN03005,Knowingly concerned in fraudulent evasion of stamp duty land tax by self / another,Contrary to section 95 of the Finance Act 2003.,CE,Y,Y,,02-Dec-03,N,N,3
FN89001,Disclose info held in exercise of tax function when such info concerns tax/duty relates to identifiable person,,CE,N,Y,,24-Nov-05,N,N,3
FN89002,Disclose info held in exercise of function of Comptroller/Auditor General,,CE,N,N,,28-Jul-89,N,N,3
FN89003,Disclose information acquired as a member of an advisory commission under the Arbitration Convention,,CE,N,N,,18-Jul-92,N,N,3
FO91001,Throw a missile onto a football playing area - Football (Offences) Act 1991,Contrary to sections 2 and 5 of the Football (Offences) Act    1991.,CS,N,Y,,02-Oct-94,N,N,S
FO91002,Throw missile at area adjacent to pitch - Football (Offences) Act 1991,Contrary to sections 2 and 5 of the Football (Offences) Act    1991.,CS,N,Y,,02-Oct-94,N,N,S
FO91003,Indecent / racial chanting at a designated football match - Football (Offences) Act 1991,Contrary to sections 3(1) and 5 of the Football (Offences) Act 1991.,CS,N,Y,,04-Oct-94,N,N,S
FO91004,Go onto playing area at a football match - Football (Offences) Act 1991,Contrary to sections 4 and 5 of the Football (Offences) Act    1991.,CS,N,Y,,02-Oct-94,N,N,S
FO91005,Throw missile at spectators area,Contrary to sections 2 and 5 of the Football (Offences) Act    1991.,CS,N,Y,,24-Nov-97,N,N,S
FO91006,Go onto area adjacent to playing area - Football (Offences) Act 1991,Contrary to sections 4 and 5 of the Football (Offences) Act    1991.,CS,N,Y,,03-Oct-94,N,N,S
FR67001,Obstruct person authorised to kill rabbits / hares / vermin,Contrary to section 7(4) of the Forestry Act 1967.,CS,N,N,,03-Jan-67,N,N,S
FR67003,Fail to comply with a notice requiring compliance with conditions or directions under the Forestry Act 1967,Contrary to section 24(4) of the Forestry Act 1967.,CS,N,N,,22-Mar-67,N,N,S
FR75001,Carry out work as a farrier when not registered to do so,Contrary to section 16 of the Farriers (Registration) Act 1975.,CS,N,N,,03-Jan-75,N,N,S
FS00001,Knowingly / recklessly give an appointed auditor / actuary false / misleading information,Contrary to section 346(1) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00010,Knowingly / recklessly give a regulator false / misleading information,Contrary to section 398(1) and (3) of the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00011,Treaty firm fail to give the appropriate UK regulator seven days notice of carrying on of a regulated activity,Contrary to paragraph 6(1) and (4) of Schedule 4 to the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00014,Carry on a regulated activity when not an authorised / exempt person,Contrary to section 23(1) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00014C,Conspiracy to carry on a regulated financial activity when not authorised,Contrary to Section 1(1) of the Criminal Law Act 1977.,CI,Y,Y,,01-Dec-01,N,N,3
FS00015,In the course of business communicate an invitation / inducement to engage in an investment activity,Contrary to section 25(1) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00016,Offer transferable securities to UK public when an approved prospectus was not made available,Contrary to section 85(1) and (3) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00017,Request admission of transferable securities to trading regulated UK market prospectus not available,Contrary to section 85(2) and (3) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00018,Unauthorised / exempt person describe self as authorised in relation to a regulated activity,Contrary to section 24(1)(a) and (3) of the Financial Services and Markets Act 2000.,CS,Y,Y,,12-Mar-15,N,N,S
FS00019,Unauthorised / non exempt person describe self as exempt in relation to a regulated activity,Contrary to section 24(1)(b) and (3) of the Financial Services and Markets Act 2000.,CS,Y,Y,,12-Mar-15,N,N,S
FS00020,Unauthorised / non exempt person behave in manner as if authorised / exempt in relation to a regulated activity,Contrary to section 24(1)(c) and (3) of the Financial Services and Markets Act 2000.,CS,Y,Y,,12-Mar-15,N,N,S
FS00022,Perform / agree to perform a function in breach of a Financial Services and Markets Act prohibition order,Contrary to section 56(4) of the Financial Services and Markets Act 2000.,CS,N,N,,12-Mar-15,N,N,S
FS00024,Falsify / conceal / destroy / dispose of a document relevant to a Part XI investigation,Contrary to section 177(3)(a) and (5) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00025,Cause / permit the falsification / concealment / destruction / disposal of a document during a Part XI investigation,Contrary to section 177(3)(b) and (5) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00026,Provide false / misleading information in purported compliance with a Part XI requirement,Contrary to section 177(4) and (5) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00027,Intentionally obstruct the exercise of a right conferred by a warrant under s.176 Financial Services and Markets Act,Contrary to section 177(6) of the Financial Services and Markets Act 2000.,CS,Y,Y,,12-Mar-15,N,N,S
FS00028,Fail to give notice to regulator of intention to acquire / increase / reduce / cease control over UK authorised person,Contrary to section 191F(1) and (8) of the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00029,Acquire / increase control over a UK authorised person before expiration of the assessment period,Contrary to section 191F(2) and (8) of the Financial Services and Markets Act 2000.,CE,N,N,,13-Mar-15,N,N,3
FS00030,Contravene an interim condition / a condition in a warning notice / final notice confirming a decision notice,Contrary to section 191F(3) and (8) of the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00031,Make an acquisition in contravention of a warning / decision / final notice,Contrary to section 191F(4) and (9) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00032,Make an acquisition after appropriate regulator's approval ceased to have effect,Contrary to section 191F(5) and (8) of the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00033,Consumer credit EEA firm contravene a section 203 of the Financial Services and Markets Act 2000 prohibition,Contrary to section 203(9) of the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00034,Consumer credit EEA firm contravene a s.204 Financial Services and Markets Act restriction,Contrary to section 204(4) of the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00035,Wrongly describe the s.19 general prohibition as not applicable in relation to a related activity,Contrary to section 333(1)(a) and (3) of the Financial Services and Markets Act 2000.,CS,Y,Y,,12-Mar-15,N,N,3
FS00036,Behave / hold self out as person to whom a section 333 general prohibition does not apply,Contrary to section 333(1)(b) and (3) of the Financial Services and Markets Act 2000.,CS,Y,Y,,12-Mar-15,N,N,3
FS00037,Primary recipient disclose confidential information,Contrary to section 352(1) and (2) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00038,Use information in contravention of disclosure regulations,Contrary to section 352(3) and (5) of the Financial Services and Markets Act 2000.,CS,Y,Y,,12-Mar-15,N,N,S
FS00039,Use information obtained for purpose of Inland Revenue investigation,Contrary to section 352(4) and (5) of the Financial Services and Markets Act 2000.,CS,Y,Y,,12-Mar-15,N,N,S
FS00040,Director of insurance company fail to notify regulator of intention to propose resolution for voluntary winding up,Contrary to section 366(2) and (3) of the Financial Services and Markets Act 2000.,CS,N,N,,12-Mar-15,N,N,S
FS00041,UK firm exercise European Economic Area passport right to establish branch when condition not satisfied,Contrary to paragraph 21(1)(a) and (2) of Schedule 3 to the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00045,Offer transferable securities to which s.85 apply to the public prior to a prospectus being available,Contrary to section 85(1) and (2) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00046,Request admission of transferable securities to which s.85 applies to trading prior to a prospectus being available,Contrary to section 85(2) and (3) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00049,Provide false / misleading information to Financial Conduct Authority of commencement of a regulated activity,Contrary to paragraph 6(3) and (4) of Schedule 4 to the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00050,Receiver of information from primary recipient disclose confidential information,Contrary to section 352(1) and (2) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00051,Disclose information obtained for purpose of Inland Revenue investigation to unauthorised person,Contrary to section 352(1) and (2) of the Financial Services and Markets Act 2000.,CE,Y,Y,,12-Mar-15,N,N,3
FS00055,Provide false information to the appropriate regulator,Contrary to section 191F(6) and (8) of the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
FS00056,Breach a direction contained in a restriction notice under section 191B of the Financial Services and Markets Act 2000,Contrary to section 191F(7) and (8) of the Financial Services and Markets Act 2000.,CE,N,N,,12-Mar-15,N,N,3
HL13001,Use / keep HGV on a road when HGV road user levy not paid,Contrary to section 11(1)(a) and (2) of the HGV Road User Levy Act 2013.,CM,N,N,,13-Mar-15,N,N,S
HL13002,HGV used / kept on road when levy not paid,Contrary to section 11(1)(b) and (2) of the HGV Road User Levy Act 2013.,CM,N,N,,13-Mar-15,N,N,S
HL78001,"Offences against wagons drawn by animals, fells on tyres not of width specified, nails on wheels not countersunk",,CS,N,N,,24-Aug-05,N,Y,S
HM12003,Without a licence distribute a medicinal product by way of wholesale dealing,"Contrary to regulations 18(1)(a), 34(1) and 35(1) of the Human Medicines Regulations 2012.",CE,Y,Y,,12-Mar-15,N,N,3
HM12003C,Conspire to distribute a medicinal product without a licence by way of wholesale dealing,Contrary to section 1(1) of the Criminal Law Act 1977.,CI,Y,Y,,14-Aug-12,N,N,3
HM12004,Without a licence possess a medicinal product for the purpose of distribution by way of wholesale dealing,"Contrary to regulations 18(1)(b), 34(1) and 35(1) of the Human Medicines Regulations 2012.",CE,Y,Y,,12-Mar-15,N,N,3
HM12004C,Conspire to possess a medicinal product without a licence for the purpose of distribution by way of wholesale dealing,Contrary to section 1(1) of the Criminal Law Act 1977.,CE,Y,Y,,12-Mar-15,N,N,3
HM12006,When applying for a manufacturing licence knowingly give false information in response to a regulation 30(1) notice,Contrary to regulations 34(2) and 35(1) of the Human Medicines Regulations 2012.,CE,Y,Y,,12-Mar-15,N,N,3
HM12007,Fail to comply with a regulation 30(2) notice to provide information,Contrary to regulations 34(3) and 35(2) of the Human Medicines Regulations 2012.,CS,N,N,,14-Aug-12,N,N,S
HM12010,Sell / supply / offer to sell / supply an unauthorised medicinal product,Contrary to regulations 46(1) and 47 of the Human Medicines Regulations 2012.,CE,Y,Y,,12-Mar-15,N,N,3
HM12010C,Conspire to sell / supply / offer to sell / supply an unauthorised medicinal product,Contrary to section 1(1) of the Criminal Law Act 1977.,CI,Y,Y,,14-Aug-12,N,N,3
HM12011,Fail to provide information in application for grant / renewal / variation of certificate of registration - homoeopathic,Contrary to regulations 119(a) and 122 of the Human Medicines Regulations 2012.,CE,Y,Y,,12-Mar-15,N,N,3
HM12012,Provide false information in application for grant / renewal / variation of certificate of registration - homoeopathic,Contrary to regulations 119(b) and 122 of the Human Medicines Regulations 2012.,CE,Y,Y,,12-Mar-15,N,N,3
HM12013,Fail to provide information in application for grant / renewal / variation of a traditional herbal registration,Contrary to regulations 150(a) and 153 of the Human Medicines Regulations 2012.,CE,Y,Y,,12-Mar-15,N,N,3
HM12014,Provide false information in application for grant / renewal / variation of a traditional herbal registration,Contrary to regulations 150(b) and 153 of the Human Medicines Regulations 2012.,CE,Y,Y,,12-Mar-15,N,N,3
HM12015,Sell / supply / offer to sell / supply a product in breach of a reg 164(1) notice to cease sale,Contrary to regulations 166(1)(a) and (2) of the Human Medicines Regulations 2012.,CE,Y,Y,,12-Mar-15,N,N,3
HM12016,Sell / supply / offer to sell / supply a product before registration in breach of a reg 164(1) notice,Contrary to regulations 166(1)(b) and (2) of the Human Medicines Regulations 2012.,CE,Y,Y,,12-Mar-15,N,N,3
HM12017,Provide false information to a licensing authority re: evaluation of safety / quality / efficacy of a medicinal product,Contrary to regulations 175(1) and 176 of the Human Medicines Regulations 2012.,CE,Y,Y,,12-Mar-15,N,N,3
HM12018,Sell / supply prescription only medicine not in accordance with prescription given by appropriate practitioner,"Contrary to regulations 214(1), 255(1)(a) and (5) of the Human Medicines Regulations 2012.",CE,Y,Y,,12-Mar-15,N,N,3
HM12018C,Conspire to sell / supply prescription only medicine not in accordance with prescription given by a practitioner,Contrary to section 1(1) of the Criminal Law Act 1977.,CI,Y,Y,,14-Aug-12,N,N,3
HM12019,Parenterally administer other than to self a prescription only medicine when not an appropriate practitioner,"Contrary to regulations 214(2), 255(1) and (5) of the Human Medicines Regulations 2012.",CE,Y,Y,,12-Mar-15,N,N,3
HM12020,Sell / supply / offer to sell / supply a medicinal product not subject to general sale,"Contrary to regulations 220, 255(1)(c) and (5) of the Human Medicines Regulations 2012.",CE,Y,Y,,12-Mar-15,N,N,3
HM12020C,Conspire to sell / supply / offer to sell / supply a medicinal product not subject to general sale,Contrary to section 1(1) of the Criminal Law Act 1977.,CI,Y,Y,,15-Aug-12,N,N,3
HM12021,Sell / supply / offer to sell / supply medicinal product subject to general sale elsewhere than at a registered pharmacy,"Contrary to regulations 221, 255(6)(a) and (7) of the Human Medicines Regulations 2012.",CS,N,N,,14-Aug-12,N,N,S
HM12021C,Conspire to sell / supply / offer to sell / supply medicinal product to general sale elsewhere than at a reg pharmacy,Contrary to section 1(1) of the Criminal Law Act 1977.,CI,N,N,,16-Aug-12,N,N,3
HM12022,Sell / offer to sell a medicinal product by automatic machine when not subject to general sale,"Contrary to regulations 222, 255(6)(b) and (7) of the Human Medicines Regulations 2012.",CS,N,N,,14-Aug-12,N,N,S
HM12023,Sell prescription only medicine to unauthorised person during manufacture / sale of medicinal products,"Contrary to regulations 249(3), 255(1)(d) and 255(5) of the Human Medicines Regulations 2012.",CE,Y,Y,,12-Mar-15,N,N,3
HM12024,Sell / supply medicinal product which failed to comply with the standards specified in monograph,"Contrary to regulations 251(3), 255(1)(e) and 255(5) of the Human Medicines Regulations 2012.",CE,Y,Y,,12-Mar-15,N,N,3
